
  Obs   Customer ID  annee_commande  trimestre_commande  nb_commandes  sum_total_retail_price
-----  ------------  --------------  ------------------  ------------  ----------------------
    1         11001            2022                   1             2                 $109.90
    2         11001            2022                   2             1                  $54.90
    3         11002            2022                   3             3                 $330.00
    4         11002            2022                   4             1                 $110.00
    5         11003            2023                   1             5                 $750.00
    6         11003            2023                   2             2                 $300.00
    7         11004            2023                   3             4                 $480.00
    8         11004            2023                   4             1                 $120.00

